input_color,output_color
#1D1020,#9B78AD
#9B78AD,#7C638B
#7C638B,#89699C
#89699C,#B893CE
#BFA93B,#BFA450
#BFA450,#A68549
#A68549,#A64F03
#A64F03,#592A0E
#73294C,#A65188
#A65188,#8C6954
#98A665,#EBF21B
#EBF21B,#EDF250
#EDF250,#D5D973
#D5D973,#F2EFEB
#AFAEBF,#757480
#757480,#EAE9FF
#EAE9FF,#3A3A40
#3A3A40,#D2D1E6
#D9D9D9,#BFBFBF
#BFBFBF,#737373
#737373,#404040
#404040,#262626
#260112,#590B36
#590B36,#8C1B59
#8C1B59,#D9529C
#D9529C,#A64495
#3E4001,#403D1E
#403D1E,#D9A689
#D9A689,#BF7154
#BF7154,#0D0D0D
#0ABF6A,#DCF2AC
#3A4039,#535951
#535951,#8C8979
#8C8979,#BFBDB0
#BFBDB0,#0D0D0D
#F22E52,#F21B6A
#F21B6A,#77828C
#77828C,#F2522E
#F2522E,#F23D3D
#F23D3D,#F22E52
#F21B6A,#F2522E
#667371,#D9A171
#D9A171,#BFA38A
#BFA38A,#BF8A6B
#BF8A6B,#8C5454
#F5D07D,#C69241
#C69241,#A0254E
#A0254E,#460A21
#460A21,#220E14
#F2EBDC,#594225
#594225,#8C693E
#8C693E,#D9AE79
#D9AE79,#0D0D0D
#6DA0A6,#A8BDBF
#A8BDBF,#D99B66
#D99B66,#BF9075
#BF9075,#D9D9D9
#D98292,#D9BD8B
#D9BD8B,#D9663D
#D9663D,#F21313
#F21313,#260F0F
#FFD500,#FE3955
#FE3955,#964FBC
#964FBC,#000000
#000000,#FFFFFF
#232659,#080C26
#30348C,#232659
#3F3CA6,#30348C
#F23078,#815DA6
#815DA6,#021526
#021526,#05F2F2
#05F2F2,#05F2DB
#73224F,#F25CCA
#F25CCA,#211426
#211426,#F2B441
#F2B441,#D9814E
#FFD319,#FF901F
#FF901F,#FF2B5C
#FF2B5C,#FF3DF4
#FF3DF4,#9A34EB
#F23D4C,#F22259
#F22259,#04BFBF
#04BFBF,#038C8C
#038C8C,#0D0D0D
#D91494,#F257C9
#F257C9,#7141D9
#7141D9,#034C8C
#034C8C,#13DCF2
#A6212C,#734549
#734549,#BF8049
#BF8049,#BF190A
#BF190A,#0D0D0D
#BD9F69,#F7F7F7
#F7F7F7,#FFFFFF
#FFFFFF,#A0834E
#A0834E,#080808
#565659,#89888C
#89888C,#00010D
#00010D,#D0D3D9
#D0D3D9,#0D0D0D
